model,estimate,std_error
1,1,9.43706030177649e-18
2,1,2.667405872777e-17
3,1,2.84688944095498e-17
1,1,2.2339048391885e-17
2,1,1.08102005233073e-17
3,1,1.22832086446548e-17
1,1,1.98571944915526e-17
2,1,4.62808388384765e-17
3,1,6.67492919211782e-17
1,1,5.0445637811012e-18
2,1,1.00371216929291e-16
3,1,2.1754080229025e-16
1,1,1.21313185152478e-17
2,1,3.17843249325372e-17
3,1,3.37077774392152e-17
1,1,2.00322417801818e-17
2,1,5.9533121734424e-18
3,1,6.15480346215517e-18
1,1,1.36880125251619e-17
2,1,5.07622721575978e-18
3,1,5.13498084839767e-18
1,1,4.82457145771988e-17
2,1,2.51987469385847e-17
3,1,4.76219491534004e-17
1,1,4.00417933119261e-17
2,1,8.96809324189857e-18
3,1,1.24137145042478e-17
1,1,1.01290702511783e-17
2,1,2.75115302152435e-17
3,1,4.75550797673692e-17
1,1,1.2364384842804e-17
2,1,1.16927253742551e-17
3,1,1.80634920593877e-17
1,1,3.13116827490732e-18
2,1,5.8656914833146e-17
3,1,1.95539310706906e-16
1,1,7.39179069157436e-18
2,1,4.68798161783478e-17
3,1,4.76128693333324e-17
1,1,4.73384584221598e-17
2,1,1.26032959370729e-17
3,1,1.9614820468407e-17
1,1,5.53203221968587e-17
2,1,6.08018221498047e-17
3,1,8.29863302082902e-17
1,1,2.55796382380337e-17
2,1,4.32755743145321e-17
3,1,4.5043784735965e-17
1,1,1.46090941713401e-17
2,1,2.06103465522815e-17
3,1,2.05761616220179e-17
1,1,1.41046852521966e-17
2,1,1.76810192325717e-17
3,1,1.8253245091564e-17
1,1,7.26172129019765e-17
2,1,1.00806264548971e-17
3,1,1.00793491491263e-17
1,1,2.32934345413452e-17
2,1,4.57694525413904e-17
3,1,5.22105716808103e-17
1,1,5.33440636089029e-17
2,1,6.59716111978271e-17
3,1,6.54993522314705e-17
1,1,3.72054143356987e-17
2,1,2.34200747136002e-17
3,1,2.40722471276989e-17
1,1,1.49857185252547e-17
2,1,4.23525280057366e-17
3,1,1.04695577096306e-16
1,1,4.73742410668455e-17
2,1,1.8148046282469e-17
3,1,1.86123384135581e-17
1,1,1.33694145216272e-17
2,1,5.68340056369508e-17
3,1,5.6998191507907e-17
1,1,2.7331944771755e-17
2,1,5.48416685743889e-17
3,1,5.53151086421342e-17
1,1,3.75263472999279e-17
2,1,3.70492605866228e-17
3,1,4.07909082219898e-17
1,1,3.66911483694854e-17
2,1,4.33729466900594e-17
3,1,5.81851867182203e-17
1,1,3.21796704195119e-17
2,1,4.32210098437089e-17
3,1,8.83241453284441e-17
1,1,3.41338323594355e-17
2,1,4.6649523936957e-17
3,1,6.83947357301603e-17
1,1,8.98667463019161e-17
2,1,6.38963774171173e-18
3,1,1.01343464706259e-17
1,1,3.7103819219943e-17
2,1,9.66683252943684e-17
3,1,1.10000644280035e-16
1,1,5.02543469617577e-17
2,1,6.48671872233549e-17
3,1,7.93205725932317e-17
1,1,3.77452631667842e-17
2,1,6.09250006684689e-17
3,1,6.12178089105817e-17
1,1,2.72388810271721e-17
2,1,4.63656011650097e-17
3,1,1.43023907121248e-16
1,1,5.11770562637134e-17
2,1,4.91257984021472e-17
3,1,4.90798200873818e-17
1,1,2.08153971149236e-17
2,1,6.86279499715174e-17
3,1,6.85685592028413e-17
1,1,3.51935181818914e-17
2,1,2.48362677883717e-17
3,1,4.08634733691696e-17
1,1,4.83614378929281e-17
2,1,7.51349537158161e-17
3,1,1.18195451496594e-16
1,1,4.11136269413167e-17
2,1,1.4476959862849e-17
3,1,1.45152566477402e-17
1,1,6.45288508684723e-18
2,1,3.08331680683816e-17
3,1,6.01946126448411e-17
1,1,4.65163610561797e-17
2,1,5.06000712569638e-17
3,1,5.23864992540996e-17
1,1,1.81343534636292e-17
2,1,2.9561914151338e-18
3,1,4.38497964516845e-18
1,1,1.20328383659364e-17
2,1,1.17340427776103e-17
3,1,2.9906343671369e-17
1,1,1.67167030008865e-17
2,1,1.88206497903422e-17
3,1,1.89152564506762e-17
1,1,6.19172642147994e-17
2,1,6.19578964860691e-17
3,1,1.54823251595273e-16
1,1,2.104690054442e-17
2,1,8.35521735477601e-17
3,1,1.53428858506912e-16
1,1,8.50293416096516e-18
2,1,4.31758255799348e-17
3,1,4.49085241686256e-17
1,1,8.34282792081838e-18
2,1,3.11386663211533e-17
3,1,1.30009939060416e-16
1,1,7.62211464551457e-18
2,1,1.94678913837423e-17
3,1,3.88501244930453e-17
1,1,1.72026635609858e-17
2,1,7.80660395912103e-17
3,1,1.66500216992847e-16
1,1,8.95795957036282e-17
2,1,3.02061076110941e-17
3,1,5.25585940745268e-17
1,1,2.03494863557866e-17
2,1,8.76793803258323e-18
3,1,8.87642353983432e-18
1,1,6.98859371823723e-18
2,1,2.38338096476874e-17
3,1,2.73034793755117e-17
1,1,4.48540714953965e-17
2,1,1.73549769438664e-17
3,1,2.78013752724123e-17
1,1,3.10402857023163e-17
2,1,7.89915401325451e-18
3,1,7.95927722866037e-18
1,1,2.90512494836228e-17
2,1,6.81263477054166e-18
3,1,6.9320214476486e-18
1,1,8.92426614390085e-18
2,1,8.85449693327229e-17
3,1,1.08199561497365e-16
1,1,1.94053990455552e-17
2,1,2.00879154649901e-17
3,1,2.95292126092541e-17
1,1,2.18658448958436e-17
2,1,2.1648206600306e-17
3,1,3.99165325738579e-17
1,1,4.55764436094263e-17
2,1,3.57657448576049e-17
3,1,4.3094509383875e-17
1,1,8.47185410162066e-18
2,1,1.83906806256756e-17
3,1,2.74748779410168e-17
